cr,f,popsize,different_powers,discus,ellipsoid,rosenbrock,shifted_sphere,sphere,mean,mad
0.52,0.12,64,6572.8,19488,inf,9241.6,inf,inf,inf,inf
0.52,0.16,64,7302.4,17497.6,17811.2,10560,32838.4,inf,inf,inf
0.52,0.28,64,15424,31244.8,30457.6,20499.2,46822.4,inf,inf,inf
0.52,0.32,64,21081.6,42016,42630.4,28844.8,inf,inf,inf,inf
0.52,0.35999998,64,32083.2,inf,inf,41907.2,inf,inf,inf,inf
0.52,0.39999998,64,inf,inf,inf,inf,inf,inf,inf,inf
0.52,0.43999997,64,inf,inf,inf,inf,inf,inf,inf,inf
0.52,0.48,64,inf,inf,inf,inf,inf,inf,inf,inf
0.52,0.52,64,inf,inf,inf,inf,inf,inf,inf,inf
0.52,0.56,64,inf,inf,inf,inf,inf,inf,inf,inf
0.52,0.6,64,inf,inf,inf,inf,inf,inf,inf,inf
0.52,0.64,64,inf,inf,inf,inf,inf,inf,inf,inf
0.52,0.68,64,inf,inf,inf,inf,inf,inf,inf,inf
0.52,0.72,64,inf,inf,inf,inf,inf,inf,inf,inf
0.52,0.76,64,inf,inf,inf,inf,inf,inf,inf,inf
0.52,0.8,64,inf,inf,inf,inf,inf,inf,inf,inf
0.52,0.84,64,inf,inf,inf,inf,inf,inf,inf,inf
0.52,0.88,64,inf,inf,inf,inf,inf,inf,inf,inf
0.52,0.92,64,inf,inf,inf,inf,inf,inf,inf,inf
0.52,0.96,64,inf,inf,inf,inf,inf,inf,inf,inf
0.56,0.04,64,5600,inf,inf,8582.4,inf,inf,inf,inf
0.56,0.08,64,5811.2,inf,inf,8691.2,inf,inf,inf,inf
0.56,0.12,64,6342.4,inf,inf,9088,inf,inf,inf,inf
0.56,0.16,64,7276.8,18176,19046.4,9881.6,inf,inf,inf,inf
0.56,0.19999999,64,8300.8,19923.2,19763.2,11308.8,37708.8,inf,inf,inf
0.56,0.23999998,64,10368,23372.8,23321.6,13638.4,39724.8,inf,inf,inf
0.56,0.28,64,13702.4,28992,29241.6,18124.8,inf,inf,inf,inf
0.56,0.32,64,17689.6,38700.8,38988.8,23635.2,inf,inf,inf,inf
0.56,0.35999998,64,25792,inf,inf,32614.4,inf,inf,inf,inf
0.56,0.39999998,64,39840,inf,inf,inf,inf,inf,inf,inf
0.56,0.43999997,64,inf,inf,inf,inf,inf,inf,inf,inf
0.56,0.48,64,inf,inf,inf,inf,inf,inf,inf,inf
0.56,0.52,64,inf,inf,inf,inf,inf,inf,inf,inf
0.56,0.56,64,inf,inf,inf,inf,inf,inf,inf,inf
0.56,0.6,64,inf,inf,inf,inf,inf,inf,inf,inf
0.56,0.64,64,inf,inf,inf,inf,inf,inf,inf,inf
0.56,0.68,64,inf,inf,inf,inf,inf,inf,inf,inf
0.56,0.72,64,inf,inf,inf,inf,inf,inf,inf,inf
0.56,0.76,64,inf,inf,inf,inf,inf,inf,inf,inf
0.56,0.8,64,inf,inf,inf,inf,inf,inf,inf,inf
0.56,0.84,64,inf,inf,inf,inf,inf,inf,inf,inf
0.56,0.88,64,inf,inf,inf,inf,inf,inf,inf,inf
0.56,0.92,64,inf,inf,inf,inf,inf,inf,inf,inf
0.56,0.96,64,inf,inf,inf,inf,inf,inf,inf,inf
0.59999996,0.04,64,5728,inf,inf,9120,inf,inf,inf,inf
0.59999996,0.08,64,5689.6,inf,inf,8537.6,inf,inf,inf,inf
0.59999996,0.12,64,6092.8,inf,inf,8556.8,inf,inf,inf,inf
0.59999996,0.16,64,6630.4,23014.4,inf,9433.6,inf,inf,inf,inf
0.59999996,0.19999999,64,7372.8,22470.4,21830.4,10662.4,inf,inf,inf,inf
0.59999996,0.23999998,64,8947.2,24128,24505.6,12480,inf,inf,inf,inf
