popsize,restart_tolerance,self_instead_neighbour,sigma,shubert,mean,mad
64,0.00000001,0.04,0.76,inf,inf,inf
64,0.00000001,0.04,0.8,inf,inf,inf
64,0.00000001,0.04,0.84,inf,inf,inf
64,0.00000001,0.04,0.88,inf,inf,inf
64,0.00000001,0.04,0.92,inf,inf,inf
64,0.00000001,0.04,0.96,inf,inf,inf
64,0.00000001,0.08,0.43999997,inf,inf,inf
64,0.00000001,0.08,0.48,inf,inf,inf
64,0.00000001,0.08,0.52,inf,inf,inf
64,0.00000001,0.08,0.56,inf,inf,inf
64,0.00000001,0.08,0.6,inf,inf,inf
64,0.00000001,0.08,0.64,inf,inf,inf
64,0.00000001,0.08,0.68,inf,inf,inf
64,0.00000001,0.08,0.72,inf,inf,inf
64,0.00000001,0.08,0.76,inf,inf,inf
64,0.00000001,0.08,0.8,inf,inf,inf
64,0.00000001,0.08,0.84,inf,inf,inf
64,0.00000001,0.08,0.88,inf,inf,inf
64,0.00000001,0.08,0.92,inf,inf,inf
64,0.00000001,0.08,0.96,inf,inf,inf
64,0.00000001,0.12,0.39999998,inf,inf,inf
64,0.00000001,0.12,0.43999997,inf,inf,inf
64,0.00000001,0.12,0.48,inf,inf,inf
64,0.00000001,0.12,0.52,inf,inf,inf
64,0.00000001,0.12,0.56,inf,inf,inf
64,0.00000001,0.12,0.6,inf,inf,inf
64,0.00000001,0.12,0.64,inf,inf,inf
64,0.00000001,0.12,0.68,inf,inf,inf
64,0.00000001,0.12,0.72,inf,inf,inf
64,0.00000001,0.12,0.76,inf,inf,inf
64,0.00000001,0.12,0.8,inf,inf,inf
64,0.00000001,0.12,0.84,inf,inf,inf
64,0.00000001,0.12,0.88,inf,inf,inf
64,0.00000001,0.12,0.92,inf,inf,inf
64,0.00000001,0.12,0.96,inf,inf,inf
64,0.00000001,0.16,0.35999998,inf,inf,inf
64,0.00000001,0.16,0.39999998,inf,inf,inf
64,0.00000001,0.16,0.43999997,inf,inf,inf
64,0.00000001,0.16,0.48,inf,inf,inf
64,0.00000001,0.16,0.52,inf,inf,inf
64,0.00000001,0.16,0.56,inf,inf,inf
64,0.00000001,0.16,0.6,inf,inf,inf
64,0.00000001,0.16,0.64,inf,inf,inf
64,0.00000001,0.16,0.68,inf,inf,inf
64,0.00000001,0.16,0.72,inf,inf,inf
64,0.00000001,0.16,0.76,inf,inf,inf
64,0.00000001,0.16,0.8,inf,inf,inf
64,0.00000001,0.16,0.84,inf,inf,inf
64,0.00000001,0.16,0.88,inf,inf,inf
64,0.00000001,0.16,0.92,inf,inf,inf
64,0.00000001,0.16,0.96,inf,inf,inf
64,0.00000001,0.19999999,0.35999998,inf,inf,inf
64,0.00000001,0.19999999,0.39999998,inf,inf,inf
64,0.00000001,0.19999999,0.43999997,inf,inf,inf
64,0.00000001,0.19999999,0.48,inf,inf,inf
64,0.00000001,0.19999999,0.52,inf,inf,inf
64,0.00000001,0.19999999,0.56,inf,inf,inf
64,0.00000001,0.19999999,0.6,inf,inf,inf
64,0.00000001,0.19999999,0.64,inf,inf,inf
64,0.00000001,0.19999999,0.68,inf,inf,inf
64,0.00000001,0.19999999,0.72,inf,inf,inf
64,0.00000001,0.19999999,0.76,inf,inf,inf
64,0.00000001,0.19999999,0.8,inf,inf,inf
64,0.00000001,0.19999999,0.84,inf,inf,inf
64,0.00000001,0.19999999,0.88,inf,inf,inf
64,0.00000001,0.19999999,0.92,inf,inf,inf
64,0.00000001,0.19999999,0.96,inf,inf,inf
64,0.00000001,0.24,0.32,inf,inf,inf
64,0.00000001,0.24,0.35999998,inf,inf,inf
64,0.00000001,0.24,0.39999998,inf,inf,inf
64,0.00000001,0.24,0.43999997,inf,inf,inf
64,0.00000001,0.24,0.48,inf,inf,inf
64,0.00000001,0.24,0.52,inf,inf,inf
64,0.00000001,0.24,0.56,inf,inf,inf
64,0.00000001,0.24,0.6,inf,inf,inf
64,0.00000001,0.24,0.64,inf,inf,inf
64,0.00000001,0.24,0.68,inf,inf,inf
64,0.00000001,0.24,0.72,inf,inf,inf
64,0.00000001,0.24,0.76,inf,inf,inf
64,0.00000001,0.24,0.8,inf,inf,inf
64,0.00000001,0.24,0.84,inf,inf,inf
64,0.00000001,0.24,0.88,inf,inf,inf
64,0.00000001,0.24,0.92,inf,inf,inf
64,0.00000001,0.24,0.96,inf,inf,inf
64,0.00000001,0.28,0.23999998,inf,inf,inf
64,0.00000001,0.28,0.28,inf,inf,inf
64,0.00000001,0.28,0.32,inf,inf,inf
64,0.00000001,0.28,0.35999998,inf,inf,inf
64,0.00000001,0.28,0.39999998,inf,inf,inf
64,0.00000001,0.28,0.43999997,inf,inf,inf
64,0.00000001,0.28,0.48,inf,inf,inf
64,0.00000001,0.28,0.52,inf,inf,inf
64,0.00000001,0.28,0.56,inf,inf,inf
64,0.00000001,0.28,0.6,inf,inf,inf
64,0.00000001,0.28,0.64,inf,inf,inf
64,0.00000001,0.28,0.68,inf,inf,inf
64,0.00000001,0.28,0.72,inf,inf,inf
64,0.00000001,0.28,0.76,inf,inf,inf
64,0.00000001,0.28,0.8,inf,inf,inf
64,0.00000001,0.28,0.84,inf,inf,inf
64,0.00000001,0.28,0.88,inf,inf,inf
64,0.00000001,0.28,0.92,inf,inf,inf
64,0.00000001,0.28,0.96,inf,inf,inf
64,0.00000001,0.32,0.32,inf,inf,inf
64,0.00000001,0.32,0.35999998,inf,inf,inf
64,0.00000001,0.32,0.39999998,inf,inf,inf
64,0.00000001,0.32,0.43999997,inf,inf,inf
64,0.00000001,0.32,0.48,inf,inf,inf
64,0.00000001,0.32,0.52,inf,inf,inf
64,0.00000001,0.32,0.56,inf,inf,inf
64,0.00000001,0.32,0.6,inf,inf,inf
64,0.00000001,0.32,0.64,inf,inf,inf
64,0.00000001,0.32,0.68,inf,inf,inf
64,0.00000001,0.32,0.72,inf,inf,inf
64,0.00000001,0.32,0.76,inf,inf,inf
64,0.00000001,0.32,0.8,inf,inf,inf
64,0.00000001,0.32,0.84,inf,inf,inf
64,0.00000001,0.32,0.88,inf,inf,inf
64,0.00000001,0.32,0.92,inf,inf,inf
64,0.00000001,0.32,0.96,inf,inf,inf
64,0.00000001,0.35999998,0.28,inf,inf,inf
64,0.00000001,0.35999998,0.32,inf,inf,inf
64,0.00000001,0.35999998,0.35999998,inf,inf,inf
64,0.00000001,0.35999998,0.39999998,inf,inf,inf
64,0.00000001,0.35999998,0.43999997,inf,inf,inf
64,0.00000001,0.35999998,0.48,inf,inf,inf
64,0.00000001,0.35999998,0.52,inf,inf,inf
64,0.00000001,0.35999998,0.56,inf,inf,inf
64,0.00000001,0.35999998,0.6,inf,inf,inf
64,0.00000001,0.35999998,0.64,inf,inf,inf
64,0.00000001,0.35999998,0.68,inf,inf,inf
64,0.00000001,0.35999998,0.72,inf,inf,inf
64,0.00000001,0.35999998,0.76,inf,inf,inf
64,0.00000001,0.35999998,0.8,inf,inf,inf
64,0.00000001,0.35999998,0.84,inf,inf,inf
64,0.00000001,0.35999998,0.88,inf,inf,inf
64,0.00000001,0.35999998,0.92,inf,inf,inf
64,0.00000001,0.35999998,0.96,inf,inf,inf
64,0.00000001,0.39999998,0.19999999,inf,inf,inf
64,0.00000001,0.39999998,0.23999998,inf,inf,inf
64,0.00000001,0.39999998,0.28,inf,inf,inf
