h,p_best_rate,popsize,different_powers,discus,ellipsoid,rosenbrock,shifted_sphere,sphere,mean,mad
11,0.48,64,1068.8,5395.2,5414.4,1420.8,24588.8,10816,8117.3335,6390.045
16,0.28,64,1056,5990.4,5888,1497.6,22233.6,12038.4,8117.3335,6012.445
11,0.76,64,992,5350.4,5529.6,1433.6,25824,9587.2,8119.467,6390.756
10,0.52,64,1004.8,5369.6,5363.2,1440,25132.8,10451.2,8126.933,6443.3774
9,0.8,64,947.2,5139.2,5158.4,1376,26355.2,9792,8128,6630.4
12,0.43999997,64,1056,5292.8,5683.2,1446.4,23884.8,11417.6,8130.1343,6347.3784
13,1,64,1024,5254.4,5107.2,1472,26336,9632,8137.6,6564.267
17,0.35999998,64,1024,5830.4,5715.2,1561.6,22880,11846.4,8142.9336,6146.845
12,0.88,64,921.6,5062.4,5152,1395.2,26675.2,9657.6,8144,6681.6
10,0.39999998,64,1017.6,5740.8,5606.4,1401.6,23980.8,11123.2,8145.0664,6271.289
15,0.88,64,1011.2,5337.6,5216,1452.8,26009.6,9843.2,8145.0664,6520.888
7,0.84,64,1017.6,4787.2,5190.4,1324.8,27180.8,9382.4,8147.2007,6756.267
22,0.23999998,64,1043.2,6259.2,6528,1510.4,20876.8,12672,8148.267,5750.756
20,0.28,64,1017.6,6054.4,6118.4,1536,22227.2,11948.8,8150.4004,5958.4
23,0.19999999,64,1017.6,6323.2,6265.6,1568,20819.2,12908.8,8150.4004,5809.0664
11,0.6,64,992,5715.2,5318.4,1395.2,25459.2,10035.2,8152.533,6396.445
10,0.68,64,966.4,5657.6,5376,1350.4,25363.2,10208,8153.6,6421.3335
12,1,64,1062.4,5081.6,5267.2,1452.8,26528,9561.6,8158.9336,6590.578
16,0.23999998,64,1017.6,5907.2,6291.2,1510.4,22400,11852.8,8163.1997,5975.467
23,0.16,64,1068.8,6796.8,6617.6,1504,20185.6,12806.4,8163.199,5555.1997
15,0.35999998,64,1075.2,6080,5408,1568,23923.2,10956.8,8168.533,6180.978
17,0.23999998,64,1056,5971.2,6233.6,1516.8,22643.2,11596.8,8169.6,5966.9336
8,0.48,64,1011.2,5286.4,5235.2,1363.2,24857.6,11289.6,8173.867,6599.8228
10,0.96,64,985.6,5286.4,4979.2,1369.6,27001.6,9420.8,8173.8667,6691.555
11,0.8,64,1056,5158.4,5369.6,1433.6,26489.6,9536,8173.8667,6559.289
14,0.76,64,1062.4,5408,5363.2,1446.4,25606.4,10169.6,8176,6474.6665
18,0.23999998,64,1011.2,6489.6,6259.2,1555.2,21254.4,12486.4,8176,5796.267
10,0.35999998,64,1030.4,5587.2,5497.6,1408,24544,10995.2,8177.0664,6395.022
11,0.39999998,64,979.2,5824,5792,1452.8,24364.8,10668.8,8180.267,6224.3555
9,0.68,64,1030.4,5113.6,5267.2,1312,26668.8,9696,8181.3335,6667.3784
11,0.92,64,1081.6,5107.2,5593.6,1459.2,26348.8,9516.8,8184.5337,6498.845
8,0.64,64,972.8,5344,5254.4,1363.2,26489.6,9689.6,8185.6,6602.6665
