popsize,self_instead_neighbour,sigma,forest,hilly,mean,mad
64,0.76,0.04,inf,inf,inf,inf
64,0.76,0.08,inf,inf,inf,inf
64,0.76,0.12,inf,inf,inf,inf
64,0.76,0.16,inf,inf,inf,inf
64,0.76,0.19999999,inf,inf,inf,inf
64,0.76,0.23999998,27161.6,inf,inf,inf
64,0.76,0.28,inf,inf,inf,inf
64,0.76,0.32,inf,inf,inf,inf
64,0.76,0.35999998,inf,inf,inf,inf
64,0.76,0.39999998,55648,inf,inf,inf
64,0.76,0.43999997,70400,inf,inf,inf
64,0.76,0.6,265715.2,inf,inf,inf
64,0.76,0.64,383571.2,inf,inf,inf
64,0.76,0.68,inf,inf,inf,inf
64,0.76,0.72,inf,inf,inf,inf
64,0.76,0.76,inf,inf,inf,inf
64,0.76,0.8,inf,inf,inf,inf
64,0.76,0.84,inf,inf,inf,inf
64,0.76,0.88,inf,inf,inf,inf
64,0.76,0.92,inf,inf,inf,inf
64,0.76,0.96,inf,inf,inf,inf
64,0.79999995,0.04,inf,inf,inf,inf
64,0.79999995,0.08,inf,inf,inf,inf
64,0.79999995,0.12,inf,inf,inf,inf
64,0.79999995,0.16,inf,inf,inf,inf
64,0.79999995,0.19999999,inf,inf,inf,inf
64,0.79999995,0.23999998,inf,inf,inf,inf
64,0.79999995,0.28,inf,inf,inf,inf
64,0.79999995,0.32,38668.8,inf,inf,inf
64,0.79999995,0.35999998,47225.6,inf,inf,inf
64,0.79999995,0.43999997,70144,inf,inf,inf
64,0.79999995,0.48,90534.4,inf,inf,inf
64,0.79999995,0.64,330521.6,inf,inf,inf
64,0.79999995,0.68,inf,inf,inf,inf
64,0.79999995,0.72,inf,inf,inf,inf
64,0.79999995,0.76,inf,inf,inf,inf
64,0.79999995,0.8,inf,inf,inf,inf
64,0.79999995,0.84,inf,inf,inf,inf
64,0.79999995,0.88,inf,inf,inf,inf
64,0.79999995,0.92,inf,inf,inf,inf
64,0.79999995,0.96,inf,inf,inf,inf
64,0.84,0.04,inf,inf,inf,inf
64,0.84,0.08,inf,inf,inf,inf
64,0.84,0.12,inf,inf,inf,inf
64,0.84,0.16,inf,inf,inf,inf
64,0.84,0.19999999,inf,inf,inf,inf
64,0.84,0.23999998,30534.4,inf,inf,inf
64,0.84,0.28,inf,inf,inf,inf
64,0.84,0.32,41900.8,inf,inf,inf
64,0.84,0.64,266694.4,inf,inf,inf
64,0.84,0.68,400339.2,inf,inf,inf
64,0.84,0.72,inf,inf,inf,inf
64,0.84,0.76,inf,inf,inf,inf
64,0.84,0.8,inf,inf,inf,inf
64,0.84,0.84,inf,inf,inf,inf
64,0.84,0.88,inf,inf,inf,inf
64,0.84,0.92,inf,inf,inf,inf
64,0.84,0.96,inf,inf,inf,inf
64,0.88,0.04,inf,inf,inf,inf
64,0.88,0.08,21177.6,inf,inf,inf
64,0.88,0.12,inf,inf,inf,inf
64,0.88,0.16,inf,inf,inf,inf
64,0.88,0.19999999,29702.4,inf,inf,inf
64,0.88,0.23999998,32646.4,inf,inf,inf
64,0.88,0.28,inf,inf,inf,inf
64,0.88,0.32,43660.8,inf,inf,inf
64,0.88,0.35999998,49510.4,inf,inf,inf
64,0.88,0.39999998,inf,inf,inf,inf
64,0.88,0.43999997,inf,inf,inf,inf
64,0.88,0.68,284473.6,inf,inf,inf
64,0.88,0.72,429344,inf,inf,inf
64,0.88,0.76,inf,inf,inf,inf
64,0.88,0.8,inf,inf,inf,inf
64,0.88,0.84,inf,inf,inf,inf
64,0.88,0.88,inf,inf,inf,inf
64,0.88,0.92,inf,inf,inf,inf
64,0.88,0.96,inf,inf,inf,inf
64,0.91999996,0.04,inf,inf,inf,inf
64,0.91999996,0.08,25612.8,inf,inf,inf
64,0.91999996,0.12,27667.2,inf,inf,inf
64,0.91999996,0.16,30457.6,inf,inf,inf
64,0.91999996,0.19999999,33728,inf,inf,inf
64,0.91999996,0.23999998,38272,inf,inf,inf
64,0.91999996,0.28,42758.4,inf,inf,inf
64,0.91999996,0.35999998,52896,inf,inf,inf
64,0.91999996,0.72,268684.8,inf,inf,inf
64,0.91999996,0.76,367571.2,inf,inf,inf
64,0.91999996,0.8,inf,inf,inf,inf
64,0.91999996,0.84,inf,inf,inf,inf
64,0.91999996,0.88,inf,inf,inf,inf
64,0.91999996,0.92,inf,inf,inf,inf
64,0.91999996,0.96,inf,inf,inf,inf
64,0.96,0.04,31392,inf,inf,inf
64,0.96,0.08,33753.6,inf,inf,inf
64,0.96,0.12,37088,inf,inf,inf
64,0.96,0.16,40729.6,inf,inf,inf
64,0.96,0.19999999,45484.8,inf,inf,inf
64,0.96,0.23999998,49209.6,inf,inf,inf
64,0.96,0.28,54425.6,inf,inf,inf
64,0.96,0.32,60518.4,inf,inf,inf
64,0.96,0.35999998,65984,inf,inf,inf
64,0.96,0.39999998,73696,inf,inf,inf
64,0.96,0.43999997,78713.6,inf,inf,inf
64,0.96,0.48,90713.6,inf,inf,inf
64,0.96,0.52,102016,inf,inf,inf
