popsize,restart_tolerance,self_instead_neighbour,sigma,different_powers,discus,ellipsoid,rosenbrock,shifted_sphere,sphere,mean,mad
64,0.00000001,0.24,0.43999997,1478.4,3846.4,3827.2,2163.2,7072,9881.6,4711.4663,2510.222
64,0.00000001,0.28,0.43999997,1254.4,3859.2,4153.6,2432,7027.2,9708.8,4739.1997,2419.2
64,0.00000001,0.48,0.43999997,1267.2,4326.4,3968,2739.2,6924.8,9267.2,4748.8003,2231.4668
64,0.00000001,0.12,0.43999997,1280,3897.6,4025.6,2624,7097.6,9574.4,4749.8667,2390.7556
64,0.00000001,0.56,0.43999997,1440,4281.6,4307.2,2444.8,7001.6,9132.8,4768,2199.4666
64,0.00000001,0.32,0.43999997,1356.8,3942.4,3987.2,2777.6,6982.4,9657.6,4784,2357.3333
64,0.00000001,0.35999998,0.43999997,1305.6,4153.6,4096,2521.6,6982.4,9651.2,4785.067,2354.489
64,0.00000001,0.88,0.35999998,1459.2,4915.2,4787.2,2508.8,6931.2,8204.8,4801.067,1882.6666
64,0.00000001,0.84,0.39999998,1446.4,4800,4633.6,2489.6,6995.2,8460.8,4804.267,1949.1556
64,0.00000001,0.44,0.43999997,1408,3948.8,4089.6,2502.4,7276.8,9683.2,4818.1333,2441.2444
64,0.00000001,0.71999997,0.43999997,1331.2,4486.4,4384,2630.4,7148.8,8972.8,4825.6,2156.7998
64,0.00000001,0.39999998,0.43999997,1427.2,4057.6,4134.4,2566.4,7001.6,9785.6,4828.8,2376.5334
64,0.00000001,0.91999996,0.16,1523.2,5171.2,5062.4,2656,6790.4,7801.6,4834.1333,1829.689
64,0.00000001,0.91999996,0.12,1465.6,5235.2,4992,2617.6,6822.4,7910.4,4840.5337,1865.9554
64,0.00000001,0.19999999,0.43999997,1555.2,3961.6,3763.2,2585.6,7187.2,10035.2,4848,2508.8
64,0.00000001,0.52,0.43999997,1459.2,4160,4211.2,2694.4,7008,9606.4,4856.5337,2300.4446
64,0.00000001,0.64,0.43999997,1350.4,4454.4,4364.8,2745.6,7155.2,9228.8,4883.1997,2205.8665
